word,Frequency,class_label
000th,"	1",0
00144feabdc0,"	1",0
0019bb2963f4,"	1",0
026201226X,"	1",0
02a00010,"	1",0
07138c,"	1",0
07JVOpcXMWZMWgrb5KKbse,"	1",0
0CCgQ6AEwAA,"	1",0
0CDEQ6AEwAA,"	1",0
0CDkQ6AEwAg,"	1",0
100YSS,"	1",0
100th,"	1",0
10291db8,"	1",0
10te,"	1",0
10th,"	2",0
111th,"	1",0
1134nyc,"	1",0
11th,"	2",0
1250px,"	1",0
12soAAAAYAAJ,"	2",0
12th,"	5",0
1447a,"	1",0
14paint,"	1",0
14th,"	1",0
1500s,"	1",0
150m,"	1",0
150px,"	4",0
150th,"	1",0
1570s,"	1",0
15th,"	3",0
166px,"	2",0
16em,"	1",0
16hyde,"	1",0
16th,"	5",0
1770s,"	1",0
17th,"	10",0
180px,"	1",0
1880s,"	1",0
189733b,"	1",0
18th,"	20",0
18thstreet,"	1",0
1911encyclopedia,"	1",0
1920s,"	4",0
1930s,"	2",0
1940s,"	2",0
1950s,"	4",0
1960s,"	14",0
1970s,"	11",0
19791796481FSupp1315,"	1",0
1980s,"	7",0
1990s,"	10",0
1992File,"	1",0
19th,"	19",0
1G1,"	1",0
1PM2605,"	1",0
1a9b7e33,"	1",0
1st,"	3",0
1tv,"	1",0
2000m,"	1",0
2000s,"	5",0
2008File,"	1",0
20091001MatthewSegalTestimony,"	1",0
2009jan31,"	1",0
200px,"	3",0
2011Lasane,"	1",0
2012File,"	1",0
2013Artsy,"	1",0
2013Chebatoris,"	1",0
2013File,"	1",0
2013Phillipos,"	1",0
2013Piazza,"	1",0
205px,"	1",0
20History,"	1",0
20Ideas,"	1",0
20Mural,"	1",0
20Paintings,"	1",0
20Patronage,"	2",0
20Search,"	1",0
20a,"	2",0
20aesthetics,"	1",0
20beauty,"	1",0
20contemplation,"	1",0
20economics,"	3",0
20em,"	1",0
20figure,"	1",0
20grabar,"	2",0
20http,"	1",0
20in,"	1",0
20kairouan,"	2",0
20mosque,"	2",0
20of,"	3",0
20px,"	3",0
20sublime,"	1",0
20th,"	20",0
20the,"	2",0
21E8AE9F,"	1",0
21st,"	4",0
21x21,"	1",0
22Absorbed,"	2",0
